probabilities,accuracy,log_loss,brier
raw,0.6290936785986291,0.8287419508471313,0.48775487685552127
isotonic,0.623000761614623,0.8847701299609634,0.4915951359203821
sigmoid,0.6283320639756284,0.8374398692366459,0.4904133641538746
