date,country,rank,previous_rank,total_points,previous_points,conf
2026-06-11,Gibraltar,202,203,820.26,810.14,UEFA
2026-06-11,Guam,203,201,819.54,825.43,AFC
2026-06-11,Seychelles,204,204,804.16,804.16,CAF
2026-06-11,Turks and Caicos Islands,205,205,803.98,803.98,CONCACAF
2026-06-11,Liechtenstein,206,206,797.7,803.57,UEFA
2026-06-11,Bahamas,207,207,786.82,786.82,CONCACAF
2026-06-11,US Virgin Islands,208,209,779.76,779.76,CONCACAF
2026-06-11,British Virgin Islands,209,208,777.41,782.14,CONCACAF
2026-06-11,Anguilla,210,210,760.25,760.25,CONCACAF
2026-06-11,San Marino,211,211,721.2,726.33,UEFA
