date,home_team,away_team,round,stage,group_name,home_goals,away_goals,penalty_winner,status
2026-07-05,Brazil,Norway,round_of_16,knockout,,1,2,,FT
2026-07-05,Mexico,England,round_of_16,knockout,,2,3,,FT
